ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
ADBE,Adobe,ESG/Impact Investing vs. Traditional Investing: 9 Data-Backed Performance Insights for 2025 - theimpactinvestor.com,ESG/Impact Investing vs. Traditional Investing: 9 Data-Backed Performance Insights for 2025  theimpactinvestor.com,ESG/Impact Investing vs. Traditional Investing: 9 Data-Backed Performance Insights for 2025 - theimpactinvestor.com. ESG/Impact Investing vs. Traditional Investing: 9 Data-Backed Performance Insights for 2025  theimpactinvestor.com,ESG,-0.99998105,negative,2025-04-21 21:06:45
ADBE,Adobe,ESG funds: Yay or nay? - Value Research,ESG funds: Yay or nay?  Value Research,ESG funds: Yay or nay? - Value Research. ESG funds: Yay or nay?  Value Research,ESG,-0.9999958,negative,2025-04-17 07:00:00
ADBE,Adobe,Sedex Launches Sustainability Consulting Solutions to Accelerate ESG Progress - Supply & Demand Chain Executive,Sedex Launches Sustainability Consulting Solutions to Accelerate ESG Progress  Supply & Demand Chain Executive,Sedex Launches Sustainability Consulting Solutions to Accelerate ESG Progress - Supply & Demand Chain Executive. Sedex Launches Sustainability Consulting Solutions to Accelerate ESG Progress  Supply & Demand Chain Executive,ESG,0.9999889,neutral,2025-04-08 07:00:00
ADBE,Adobe,"Adobe, Marriott Part of Diversity Reporting Retreat on Nasdaq - Bloomberg Law News","Adobe, Marriott Part of Diversity Reporting Retreat on Nasdaq  Bloomberg Law News","Adobe, Marriott Part of Diversity Reporting Retreat on Nasdaq - Bloomberg Law News. Adobe, Marriott Part of Diversity Reporting Retreat on Nasdaq  Bloomberg Law News",ESG,-0.99998224,negative,2025-03-31 07:00:00
ADBE,Adobe,CLKA expands practice to cover natural resources and ESG - africabusinessplus.com,CLKA expands practice to cover natural resources and ESG  africabusinessplus.com,CLKA expands practice to cover natural resources and ESG - africabusinessplus.com. CLKA expands practice to cover natural resources and ESG  africabusinessplus.com,ESG,-0.9999919,negative,2025-03-04 08:00:00
ADBE,Adobe,Tristan Blythe: Charities should face the ESG headwinds - Civil Society Media,Tristan Blythe: Charities should face the ESG headwinds  Civil Society Media,Tristan Blythe: Charities should face the ESG headwinds - Civil Society Media. Tristan Blythe: Charities should face the ESG headwinds  Civil Society Media,ESG,0.9947337,positive,2025-03-03 08:00:00
ADBE,Adobe,Judge rejects GOP-led challenge to Biden-era ESG 401(k) investing rule - BenefitsPRO,Judge rejects GOP-led challenge to Biden-era ESG 401(k) investing rule  BenefitsPRO,Judge rejects GOP-led challenge to Biden-era ESG 401(k) investing rule - BenefitsPRO. Judge rejects GOP-led challenge to Biden-era ESG 401(k) investing rule  BenefitsPRO,ESG,-0.8821798,negative,2025-02-18 08:00:00
ADBE,Adobe,ERP Software is Where Sustainability Meets Business - Supply & Demand Chain Executive,ERP Software is Where Sustainability Meets Business  Supply & Demand Chain Executive,ERP Software is Where Sustainability Meets Business - Supply & Demand Chain Executive. ERP Software is Where Sustainability Meets Business  Supply & Demand Chain Executive,ESG,-0.9704258,negative,2025-02-12 08:00:00
ADBE,Adobe,Trump's Pick for SEC Chair Likely to Stymie Shareholder Proposals From ESG Advocates - Law.com,Trump's Pick for SEC Chair Likely to Stymie Shareholder Proposals From ESG Advocates  Law.com,Trump's Pick for SEC Chair Likely to Stymie Shareholder Proposals From ESG Advocates - Law.com. Trump's Pick for SEC Chair Likely to Stymie Shareholder Proposals From ESG Advocates  Law.com,ESG,-0.99886155,negative,2025-02-10 08:00:00
ADBE,Adobe,News | Inrev launches new ESG assessment think tank - CoStar,News | Inrev launches new ESG assessment think tank  CoStar,News | Inrev launches new ESG assessment think tank - CoStar. News | Inrev launches new ESG assessment think tank  CoStar,ESG,-0.99925643,negative,2025-02-05 08:00:00
