ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
SNAP,Snap,Stocks may snap longest winning streak in 20 years as futures dip while OPEC+ crushes oil prices - Fortune,Stocks may snap longest winning streak in 20 years as futures dip while OPEC+ crushes oil prices  Fortune,Stocks may snap longest winning streak in 20 years as futures dip while OPEC+ crushes oil prices - Fortune. Stocks may snap longest winning streak in 20 years as futures dip while OPEC+ crushes oil prices  Fortune,,0.9859701,neutral,2025-05-04 22:59:00
SNAP,Snap,975 Shares in Snap-on Incorporated (NYSE:SNA) Purchased by Voleon Capital Management LP - MarketBeat,975 Shares in Snap-on Incorporated (NYSE:SNA) Purchased by Voleon Capital Management LP  MarketBeat,975 Shares in Snap-on Incorporated (NYSE:SNA) Purchased by Voleon Capital Management LP - MarketBeat. 975 Shares in Snap-on Incorporated (NYSE:SNA) Purchased by Voleon Capital Management LP  MarketBeat,,-0.9999987,negative,2025-05-04 09:35:44
SNAP,Snap,Why Snap Could Potentially Double - Seeking Alpha,Why Snap Could Potentially Double  Seeking Alpha,Why Snap Could Potentially Double - Seeking Alpha. Why Snap Could Potentially Double  Seeking Alpha,,0.9640537,neutral,2025-05-03 09:34:00
SNAP,Snap,Snap (SNAP) Shares Surge After Strong Labor Market Data - GuruFocus,Snap (SNAP) Shares Surge After Strong Labor Market Data  GuruFocus,Snap (SNAP) Shares Surge After Strong Labor Market Data - GuruFocus. Snap (SNAP) Shares Surge After Strong Labor Market Data  GuruFocus,,1.0,neutral,2025-05-03 05:00:35
SNAP,Snap,"Snap (SNAP) Shares Skyrocket, What You Need To Know - Yahoo Finance","Snap (SNAP) Shares Skyrocket, What You Need To Know  Yahoo Finance","Snap (SNAP) Shares Skyrocket, What You Need To Know - Yahoo Finance. Snap (SNAP) Shares Skyrocket, What You Need To Know  Yahoo Finance",,-0.99998355,negative,2025-05-02 20:32:47
SNAP,Snap,Snap Shares Fall Despite Strong Q1 Metrics: What's Going On? - Benzinga,Snap Shares Fall Despite Strong Q1 Metrics: What's Going On?  Benzinga,Snap Shares Fall Despite Strong Q1 Metrics: What's Going On? - Benzinga. Snap Shares Fall Despite Strong Q1 Metrics: What's Going On?  Benzinga,,0.99917656,positive,2025-05-02 14:26:20
SNAP,Snap,"Why Is Snap Stock Crashing, and Is It a Buying Opportunity? - The Motley Fool","Why Is Snap Stock Crashing, and Is It a Buying Opportunity?  The Motley Fool","Why Is Snap Stock Crashing, and Is It a Buying Opportunity? - The Motley Fool. Why Is Snap Stock Crashing, and Is It a Buying Opportunity?  The Motley Fool",,0.96907246,neutral,2025-05-02 10:00:00
SNAP,Snap,"Why Is Snap Stock Crashing, and Is It a Buying Opportunity? - Nasdaq","Why Is Snap Stock Crashing, and Is It a Buying Opportunity?  Nasdaq","Why Is Snap Stock Crashing, and Is It a Buying Opportunity? - Nasdaq. Why Is Snap Stock Crashing, and Is It a Buying Opportunity?  Nasdaq",,0.90699726,neutral,2025-05-02 10:00:00
SNAP,Snap,Snap stock craters after it reveals an $800 loophole could endanger more than $1 billion in ad revenue - MSN,Snap stock craters after it reveals an $800 loophole could endanger more than $1 billion in ad revenue  MSN,Snap stock craters after it reveals an $800 loophole could endanger more than $1 billion in ad revenue - MSN. Snap stock craters after it reveals an $800 loophole could endanger more than $1 billion in ad revenue  MSN,,0.97960645,neutral,2025-05-02 08:01:03
SNAP,Snap,Analyst Cautions On Snap As Meta And Google Benefit From Ad Spending Shifts - Yahoo Finance,Analyst Cautions On Snap As Meta And Google Benefit From Ad Spending Shifts  Yahoo Finance,Analyst Cautions On Snap As Meta And Google Benefit From Ad Spending Shifts - Yahoo Finance. Analyst Cautions On Snap As Meta And Google Benefit From Ad Spending Shifts  Yahoo Finance,,0.6111173,neutral,2025-05-02 04:57:22
SNAP,Snap,What's Next For SNAP Stock? - Nasdaq,What's Next For SNAP Stock?  Nasdaq,What's Next For SNAP Stock? - Nasdaq. What's Next For SNAP Stock?  Nasdaq,,-0.99999607,negative,2025-05-02 04:51:00
SNAP,Snap,Morgan Stanley Adjusts Price Target for SNAP | SNAP Stock News - GuruFocus,Morgan Stanley Adjusts Price Target for SNAP | SNAP Stock News  GuruFocus,Morgan Stanley Adjusts Price Target for SNAP | SNAP Stock News - GuruFocus. Morgan Stanley Adjusts Price Target for SNAP | SNAP Stock News  GuruFocus,,-0.999984,negative,2025-05-01 18:33:54
SNAP,Snap,Snap Stock Crashes after Earnings as Uncertainty Stings Forecast - The Globe and Mail,Snap Stock Crashes after Earnings as Uncertainty Stings Forecast  The Globe and Mail,Snap Stock Crashes after Earnings as Uncertainty Stings Forecast - The Globe and Mail. Snap Stock Crashes after Earnings as Uncertainty Stings Forecast  The Globe and Mail,,0.99787164,positive,2025-05-01 10:46:00
SNAP,Snap,"Stocks to Watch Recap: Meta Platforms, Microsoft, First Solar, Snap - WSJ","Stocks to Watch Recap: Meta Platforms, Microsoft, First Solar, Snap  WSJ","Stocks to Watch Recap: Meta Platforms, Microsoft, First Solar, Snap - WSJ. Stocks to Watch Recap: Meta Platforms, Microsoft, First Solar, Snap  WSJ",,-0.99999523,negative,2025-05-01 02:19:00
SNAP,Snap,Why Snap Inc. (SNAP) Went Down On Wednesday - Yahoo Finance,Why Snap Inc. (SNAP) Went Down On Wednesday  Yahoo Finance,Why Snap Inc. (SNAP) Went Down On Wednesday - Yahoo Finance. Why Snap Inc. (SNAP) Went Down On Wednesday  Yahoo Finance,,0.9919274,positive,2025-05-01 00:42:14
