ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
HRB,H&R Block,Those who invested in H&R Block (NYSE:HRB) five years ago are up 404% - Yahoo Finance,Those who invested in H&R Block (NYSE:HRB) five years ago are up 404%  Yahoo Finance,Those who invested in H&R Block (NYSE:HRB) five years ago are up 404% - Yahoo Finance. Those who invested in H&R Block (NYSE:HRB) five years ago are up 404%  Yahoo Finance,,-0.63343847,negative,2025-03-27 07:00:00
HRB,H&R Block,H&R Block names Phillip Miller as Chief Information Security Officer - GlobeNewswire,H&R Block names Phillip Miller as Chief Information Security Officer  GlobeNewswire,H&R Block names Phillip Miller as Chief Information Security Officer - GlobeNewswire. H&R Block names Phillip Miller as Chief Information Security Officer  GlobeNewswire,,-0.9999933,negative,2025-03-25 07:00:00
HRB,H&R Block,May 16th Options Now Available For H & R Block (HRB) - Nasdaq,May 16th Options Now Available For H & R Block (HRB)  Nasdaq,May 16th Options Now Available For H & R Block (HRB) - Nasdaq. May 16th Options Now Available For H & R Block (HRB)  Nasdaq,,-0.9999994,negative,2025-03-20 07:00:00
HRB,H&R Block,H&R Block: A Boring Business Promising Big Returns (NYSE:HRB) - Seeking Alpha,H&R Block: A Boring Business Promising Big Returns (NYSE:HRB)  Seeking Alpha,H&R Block: A Boring Business Promising Big Returns (NYSE:HRB) - Seeking Alpha. H&R Block: A Boring Business Promising Big Returns (NYSE:HRB)  Seeking Alpha,,0.999824,neutral,2025-02-10 08:00:00
HRB,H&R Block,"Earnings Update: H&R Block, Inc. (NYSE:HRB) Just Reported Its Second-Quarter Results And Analysts Are Updating Their Forecasts - Yahoo Finance","Earnings Update: H&R Block, Inc. (NYSE:HRB) Just Reported Its Second-Quarter Results And Analysts Are Updating Their Forecasts  Yahoo Finance","Earnings Update: H&R Block, Inc. (NYSE:HRB) Just Reported Its Second-Quarter Results And Analysts Are Updating Their Forecasts - Yahoo Finance. Earnings Update: H&R Block, Inc. (NYSE:HRB) Just Reported Its Second-Quarter Results And Analysts Are Updating Their Forecasts  Yahoo Finance",,-0.9999943,negative,2025-02-07 08:00:00
HRB,H&R Block,H&R Block (NYSE:HRB) Beats Q4 Sales Targets But Stock Drops - Yahoo Finance,H&R Block (NYSE:HRB) Beats Q4 Sales Targets But Stock Drops  Yahoo Finance,H&R Block (NYSE:HRB) Beats Q4 Sales Targets But Stock Drops - Yahoo Finance. H&R Block (NYSE:HRB) Beats Q4 Sales Targets But Stock Drops  Yahoo Finance,,1.0,neutral,2025-02-04 08:00:00
HRB,H&R Block,H&R Block (HRB) Reports Q4: Everything You Need To Know Ahead Of Earnings - Yahoo Finance,H&R Block (HRB) Reports Q4: Everything You Need To Know Ahead Of Earnings  Yahoo Finance,H&R Block (HRB) Reports Q4: Everything You Need To Know Ahead Of Earnings - Yahoo Finance. H&R Block (HRB) Reports Q4: Everything You Need To Know Ahead Of Earnings  Yahoo Finance,,-0.99996376,negative,2025-02-03 08:00:00
HRB,H&R Block,"FTC Fines H&R Block $7 Million, Orders Changes to Advertising, Service Practices - Investopedia","FTC Fines H&R Block $7 Million, Orders Changes to Advertising, Service Practices  Investopedia","FTC Fines H&R Block $7 Million, Orders Changes to Advertising, Service Practices - Investopedia. FTC Fines H&R Block $7 Million, Orders Changes to Advertising, Service Practices  Investopedia",,-0.99901974,negative,2025-01-09 08:00:00
HRB,H&R Block,"New This Tax Season: H&R Block Filers Could Receive Up To $4,000 With Refund Advance Loan - Yahoo Finance","New This Tax Season: H&R Block Filers Could Receive Up To $4,000 With Refund Advance Loan  Yahoo Finance","New This Tax Season: H&R Block Filers Could Receive Up To $4,000 With Refund Advance Loan - Yahoo Finance. New This Tax Season: H&R Block Filers Could Receive Up To $4,000 With Refund Advance Loan  Yahoo Finance",,-0.98963445,negative,2025-01-06 08:00:00
HRB,H&R Block,Here's Why H&R Block (HRB) is a Strong Value Stock - Yahoo Finance,Here's Why H&R Block (HRB) is a Strong Value Stock  Yahoo Finance,Here's Why H&R Block (HRB) is a Strong Value Stock - Yahoo Finance. Here's Why H&R Block (HRB) is a Strong Value Stock  Yahoo Finance,,0.99999964,neutral,2024-12-03 08:00:00
HRB,H&R Block,Intuit and H&R Block Fall on Report of ‘DOGE’ Interest in Tax App - Bloomberg.com,Intuit and H&R Block Fall on Report of ‘DOGE’ Interest in Tax App  Bloomberg.com,Intuit and H&R Block Fall on Report of ‘DOGE’ Interest in Tax App - Bloomberg.com. Intuit and H&R Block Fall on Report of ‘DOGE’ Interest in Tax App  Bloomberg.com,,-0.9999838,negative,2024-11-19 08:00:00
HRB,H&R Block,"You Could Get Up to $1,300 the Same Day with an H&R Block Emerald Advance® Loan - GlobeNewswire","You Could Get Up to $1,300 the Same Day with an H&R Block Emerald Advance® Loan  GlobeNewswire","You Could Get Up to $1,300 the Same Day with an H&R Block Emerald Advance® Loan - GlobeNewswire. You Could Get Up to $1,300 the Same Day with an H&R Block Emerald Advance® Loan  GlobeNewswire",,-0.9998919,negative,2024-10-29 07:00:00
HRB,H&R Block,"H&R Block to Release Fiscal 2025 First Quarter Results on November 7, 2024 - GlobeNewswire","H&R Block to Release Fiscal 2025 First Quarter Results on November 7, 2024  GlobeNewswire","H&R Block to Release Fiscal 2025 First Quarter Results on November 7, 2024 - GlobeNewswire. H&R Block to Release Fiscal 2025 First Quarter Results on November 7, 2024  GlobeNewswire",,-0.9999976,negative,2024-10-24 07:00:00
HRB,H&R Block,H&R Block to Participate in the Barclays Global Financial Services Conference - GlobeNewswire,H&R Block to Participate in the Barclays Global Financial Services Conference  GlobeNewswire,H&R Block to Participate in the Barclays Global Financial Services Conference - GlobeNewswire. H&R Block to Participate in the Barclays Global Financial Services Conference  GlobeNewswire,,-0.9999808,negative,2024-09-03 07:00:00
HRB,H&R Block,"Top Stock Movers Now: H&R Block, Madison Square Garden Entertainment, and More - Investopedia","Top Stock Movers Now: H&R Block, Madison Square Garden Entertainment, and More  Investopedia","Top Stock Movers Now: H&R Block, Madison Square Garden Entertainment, and More - Investopedia. Top Stock Movers Now: H&R Block, Madison Square Garden Entertainment, and More  Investopedia",,-0.99995863,negative,2024-08-16 07:00:00
