ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
LYFT,Lyft,"Maple Rock Capital Partners Inc. Has $70.11 Million Holdings in Lyft, Inc. (NASDAQ:LYFT) - MarketBeat","Maple Rock Capital Partners Inc. Has $70.11 Million Holdings in Lyft, Inc. (NASDAQ:LYFT)  MarketBeat","Maple Rock Capital Partners Inc. Has $70.11 Million Holdings in Lyft, Inc. (NASDAQ:LYFT) - MarketBeat. Maple Rock Capital Partners Inc. Has $70.11 Million Holdings in Lyft, Inc. (NASDAQ:LYFT)  MarketBeat",,-0.99999917,negative,2025-05-04 10:54:06
LYFT,Lyft,"Beacon Pointe Advisors LLC Acquires 73,299 Shares of Lyft, Inc. (NASDAQ:LYFT) - MarketBeat","Beacon Pointe Advisors LLC Acquires 73,299 Shares of Lyft, Inc. (NASDAQ:LYFT)  MarketBeat","Beacon Pointe Advisors LLC Acquires 73,299 Shares of Lyft, Inc. (NASDAQ:LYFT) - MarketBeat. Beacon Pointe Advisors LLC Acquires 73,299 Shares of Lyft, Inc. (NASDAQ:LYFT)  MarketBeat",,-0.9999671,negative,2025-05-04 09:39:58
LYFT,Lyft,"AQR Capital Management LLC Has $62.23 Million Stake in Lyft, Inc. (NASDAQ:LYFT) - MarketBeat","AQR Capital Management LLC Has $62.23 Million Stake in Lyft, Inc. (NASDAQ:LYFT)  MarketBeat","AQR Capital Management LLC Has $62.23 Million Stake in Lyft, Inc. (NASDAQ:LYFT) - MarketBeat. AQR Capital Management LLC Has $62.23 Million Stake in Lyft, Inc. (NASDAQ:LYFT)  MarketBeat",,-0.9999993,negative,2025-05-04 09:34:55
LYFT,Lyft,"Lyft, Inc. (NASDAQ:LYFT) Shares Purchased by Schonfeld Strategic Advisors LLC - MarketBeat","Lyft, Inc. (NASDAQ:LYFT) Shares Purchased by Schonfeld Strategic Advisors LLC  MarketBeat","Lyft, Inc. (NASDAQ:LYFT) Shares Purchased by Schonfeld Strategic Advisors LLC - MarketBeat. Lyft, Inc. (NASDAQ:LYFT) Shares Purchased by Schonfeld Strategic Advisors LLC  MarketBeat",,-0.99999356,negative,2025-05-04 09:26:55
LYFT,Lyft,"Price T Rowe Associates Inc. MD Purchases 1,030,014 Shares of Lyft, Inc. (NASDAQ:LYFT) - MarketBeat","Price T Rowe Associates Inc. MD Purchases 1,030,014 Shares of Lyft, Inc. (NASDAQ:LYFT)  MarketBeat","Price T Rowe Associates Inc. MD Purchases 1,030,014 Shares of Lyft, Inc. (NASDAQ:LYFT) - MarketBeat. Price T Rowe Associates Inc. MD Purchases 1,030,014 Shares of Lyft, Inc. (NASDAQ:LYFT)  MarketBeat",,-0.99999964,negative,2025-05-04 08:37:39
LYFT,Lyft,"Two Sigma Securities LLC Sells 98,701 Shares of Lyft, Inc. (NASDAQ:LYFT) - MarketBeat","Two Sigma Securities LLC Sells 98,701 Shares of Lyft, Inc. (NASDAQ:LYFT)  MarketBeat","Two Sigma Securities LLC Sells 98,701 Shares of Lyft, Inc. (NASDAQ:LYFT) - MarketBeat. Two Sigma Securities LLC Sells 98,701 Shares of Lyft, Inc. (NASDAQ:LYFT)  MarketBeat",,-0.9999969,negative,2025-05-03 09:18:44
LYFT,Lyft,"Lyft chief legal officer sells shares worth $283,170 - Investing.com","Lyft chief legal officer sells shares worth $283,170  Investing.com","Lyft chief legal officer sells shares worth $283,170 - Investing.com. Lyft chief legal officer sells shares worth $283,170  Investing.com",,-0.999984,negative,2025-05-03 00:30:26
LYFT,Lyft,"Westerly Capital Management LLC Acquires 125,000 Shares of Lyft, Inc. (NASDAQ:LYFT) - MarketBeat","Westerly Capital Management LLC Acquires 125,000 Shares of Lyft, Inc. (NASDAQ:LYFT)  MarketBeat","Westerly Capital Management LLC Acquires 125,000 Shares of Lyft, Inc. (NASDAQ:LYFT) - MarketBeat. Westerly Capital Management LLC Acquires 125,000 Shares of Lyft, Inc. (NASDAQ:LYFT)  MarketBeat",,-0.9999776,negative,2025-05-02 11:49:50
LYFT,Lyft,2 Internet Stocks for Long-Term Investors and 1 to Approach with Caution - Yahoo Finance,2 Internet Stocks for Long-Term Investors and 1 to Approach with Caution  Yahoo Finance,2 Internet Stocks for Long-Term Investors and 1 to Approach with Caution - Yahoo Finance. 2 Internet Stocks for Long-Term Investors and 1 to Approach with Caution  Yahoo Finance,,-0.9999974,negative,2025-05-02 04:31:00
LYFT,Lyft,"Adage Capital Partners GP L.L.C. Buys 1,362,000 Shares of Lyft, Inc. (NASDAQ:LYFT) - MarketBeat","Adage Capital Partners GP L.L.C. Buys 1,362,000 Shares of Lyft, Inc. (NASDAQ:LYFT)  MarketBeat","Adage Capital Partners GP L.L.C. Buys 1,362,000 Shares of Lyft, Inc. (NASDAQ:LYFT) - MarketBeat. Adage Capital Partners GP L.L.C. Buys 1,362,000 Shares of Lyft, Inc. (NASDAQ:LYFT)  MarketBeat",,-0.9999881,negative,2025-05-01 18:19:26
