ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
GOOG,Google,ESG News Recap: Google's Power in Danger with Antitrust Trial - Impakter,ESG News Recap: Google's Power in Danger with Antitrust Trial  Impakter,ESG News Recap: Google's Power in Danger with Antitrust Trial - Impakter. ESG News Recap: Google's Power in Danger with Antitrust Trial  Impakter,ESG,0.507088,neutral,2025-04-30 16:19:52
GOOG,Google,Alphabet Inc. (NASDAQ:GOOGL) Shares Sold by ESG Planning DBA Harper Investing - Defense World,Alphabet Inc. (NASDAQ:GOOGL) Shares Sold by ESG Planning DBA Harper Investing  Defense World,Alphabet Inc. (NASDAQ:GOOGL) Shares Sold by ESG Planning DBA Harper Investing - Defense World. Alphabet Inc. (NASDAQ:GOOGL) Shares Sold by ESG Planning DBA Harper Investing  Defense World,ESG,-0.99998975,negative,2025-04-07 07:00:00
GOOG,Google,"Amazon Follows Google’s Lead, Deploys AI for Flood Prevention - ESG News","Amazon Follows Google’s Lead, Deploys AI for Flood Prevention  ESG News","Amazon Follows Google’s Lead, Deploys AI for Flood Prevention - ESG News. Amazon Follows Google’s Lead, Deploys AI for Flood Prevention  ESG News",ESG,-0.99998724,negative,2025-03-04 08:00:00
GOOG,Google,10 Best ESG Stocks for 2025 - The Motley Fool,10 Best ESG Stocks for 2025  The Motley Fool,10 Best ESG Stocks for 2025 - The Motley Fool. 10 Best ESG Stocks for 2025  The Motley Fool,ESG,-0.96607536,negative,2025-02-25 08:00:00
GOOG,Google,ESG News Recap: EU Spares 80% of Companies From Border Tax - Impakter,ESG News Recap: EU Spares 80% of Companies From Border Tax  Impakter,ESG News Recap: EU Spares 80% of Companies From Border Tax - Impakter. ESG News Recap: EU Spares 80% of Companies From Border Tax  Impakter,ESG,-0.9999913,negative,2025-02-07 08:00:00
GOOG,Google,ESG Framework for Sustainable AI Business - Samsung SDS,ESG Framework for Sustainable AI Business  Samsung SDS,ESG Framework for Sustainable AI Business - Samsung SDS. ESG Framework for Sustainable AI Business  Samsung SDS,ESG,-0.99998903,negative,2024-12-30 08:00:00
GOOG,Google,Best ESG ETFs: Top Funds For Socially Responsible Investing - Bankrate,Best ESG ETFs: Top Funds For Socially Responsible Investing  Bankrate,Best ESG ETFs: Top Funds For Socially Responsible Investing - Bankrate. Best ESG ETFs: Top Funds For Socially Responsible Investing  Bankrate,ESG,-0.99941397,negative,2024-12-19 08:00:00
GOOG,Google,8 Ways Google is Using AI to Help Cities Become More Sustainable - ESG News,8 Ways Google is Using AI to Help Cities Become More Sustainable  ESG News,8 Ways Google is Using AI to Help Cities Become More Sustainable - ESG News. 8 Ways Google is Using AI to Help Cities Become More Sustainable  ESG News,ESG,-0.95166856,negative,2024-10-22 07:00:00
GOOG,Google,Google Signs World’s First Corporate Nuclear Energy Deal to Power Clean AI Growth - ESG News,Google Signs World’s First Corporate Nuclear Energy Deal to Power Clean AI Growth  ESG News,Google Signs World’s First Corporate Nuclear Energy Deal to Power Clean AI Growth - ESG News. Google Signs World’s First Corporate Nuclear Energy Deal to Power Clean AI Growth  ESG News,ESG,-0.75492126,negative,2024-10-15 07:00:00
GOOG,Google,Billie Eilish Teams Up with Google Maps for Sustainable Touring - ESG News,Billie Eilish Teams Up with Google Maps for Sustainable Touring  ESG News,Billie Eilish Teams Up with Google Maps for Sustainable Touring - ESG News. Billie Eilish Teams Up with Google Maps for Sustainable Touring  ESG News,ESG,-0.9999945,negative,2024-09-26 07:00:00
GOOG,Google,Power thirst complicates ESG investors' love affair with tech stocks - Reuters,Power thirst complicates ESG investors' love affair with tech stocks  Reuters,Power thirst complicates ESG investors' love affair with tech stocks - Reuters. Power thirst complicates ESG investors' love affair with tech stocks  Reuters,ESG,-0.9999132,negative,2024-09-26 07:00:00
GOOG,Google,Google Drops Carbon-Neutral Promise Amid Surge in AI Emissions - Seneca ESG,Google Drops Carbon-Neutral Promise Amid Surge in AI Emissions  Seneca ESG,Google Drops Carbon-Neutral Promise Amid Surge in AI Emissions - Seneca ESG. Google Drops Carbon-Neutral Promise Amid Surge in AI Emissions  Seneca ESG,ESG,0.99997723,neutral,2024-09-19 07:00:00
GOOG,Google,"ESG uncertainty, investor attention and stock price crash risk in China: evidence from PVAR model analysis - Nature","ESG uncertainty, investor attention and stock price crash risk in China: evidence from PVAR model analysis  Nature","ESG uncertainty, investor attention and stock price crash risk in China: evidence from PVAR model analysis - Nature. ESG uncertainty, investor attention and stock price crash risk in China: evidence from PVAR model analysis  Nature",ESG,0.8731687,positive,2024-09-06 07:00:00
GOOG,Google,Why are Big Tech stocks still ESG stars? - Investors' Chronicle,Why are Big Tech stocks still ESG stars?  Investors' Chronicle,Why are Big Tech stocks still ESG stars? - Investors' Chronicle. Why are Big Tech stocks still ESG stars?  Investors' Chronicle,ESG,0.55459714,positive,2024-08-28 07:00:00
GOOG,Google,ESG Disclosures in the Private Equity Industry - ABRAHAM - 2024 - Journal of Accounting Research - Wiley Online Library,ESG Disclosures in the Private Equity Industry - ABRAHAM - 2024 - Journal of Accounting Research  Wiley Online Library,ESG Disclosures in the Private Equity Industry - ABRAHAM - 2024 - Journal of Accounting Research - Wiley Online Library. ESG Disclosures in the Private Equity Industry - ABRAHAM - 2024 - Journal of Accounting Research  Wiley Online Library,ESG,-0.99999905,negative,2024-08-28 07:00:00
GOOG,Google,ESG and customer stability: a perspective based on external and internal supervision and reputation mechanisms - Nature,ESG and customer stability: a perspective based on external and internal supervision and reputation mechanisms  Nature,ESG and customer stability: a perspective based on external and internal supervision and reputation mechanisms - Nature. ESG and customer stability: a perspective based on external and internal supervision and reputation mechanisms  Nature,ESG,-0.99963343,negative,2024-07-30 07:00:00
GOOG,Google,Google and DHL Form Global Partnership to Reduce CO2 Emissions with Sustainable Aviation Fuel - ESG News,Google and DHL Form Global Partnership to Reduce CO2 Emissions with Sustainable Aviation Fuel  ESG News,Google and DHL Form Global Partnership to Reduce CO2 Emissions with Sustainable Aviation Fuel - ESG News. Google and DHL Form Global Partnership to Reduce CO2 Emissions with Sustainable Aviation Fuel  ESG News,ESG,-0.9722545,negative,2024-07-24 07:00:00
GOOG,Google,"Green Economy Outperforms Global Market Over Past 10 Years, Second Only to Tech: LSEG - ESG Today","Green Economy Outperforms Global Market Over Past 10 Years, Second Only to Tech: LSEG  ESG Today","Green Economy Outperforms Global Market Over Past 10 Years, Second Only to Tech: LSEG - ESG Today. Green Economy Outperforms Global Market Over Past 10 Years, Second Only to Tech: LSEG  ESG Today",ESG,0.99986005,neutral,2024-07-11 07:00:00
GOOG,Google,Does ESG performance promote vitality of capital market? Analysis from the perspective of stock liquidity - Frontiers,Does ESG performance promote vitality of capital market? Analysis from the perspective of stock liquidity  Frontiers,Does ESG performance promote vitality of capital market? Analysis from the perspective of stock liquidity - Frontiers. Does ESG performance promote vitality of capital market? Analysis from the perspective of stock liquidity  Frontiers,ESG,-0.9999796,negative,2024-06-27 15:51:37
