ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
IBM,IBM,ESG News Recap: Supreme Court Supports Emissions Challenge - Impakter,ESG News Recap: Supreme Court Supports Emissions Challenge  Impakter,ESG News Recap: Supreme Court Supports Emissions Challenge - Impakter. ESG News Recap: Supreme Court Supports Emissions Challenge  Impakter,ESG,-0.99787354,negative,2025-04-24 16:18:01
IBM,IBM,"IBM, ESA Launch TerraMind, New AI Model for Earth and Climate Monitoring - ESG News","IBM, ESA Launch TerraMind, New AI Model for Earth and Climate Monitoring  ESG News","IBM, ESA Launch TerraMind, New AI Model for Earth and Climate Monitoring - ESG News. IBM, ESA Launch TerraMind, New AI Model for Earth and Climate Monitoring  ESG News",ESG,-0.9990282,negative,2025-04-22 07:00:00
IBM,IBM,"IBM, Ramboll Partner to Enhance ESG Data Management and Drive Corporate Decarbonization - ESG News","IBM, Ramboll Partner to Enhance ESG Data Management and Drive Corporate Decarbonization  ESG News","IBM, Ramboll Partner to Enhance ESG Data Management and Drive Corporate Decarbonization - ESG News. IBM, Ramboll Partner to Enhance ESG Data Management and Drive Corporate Decarbonization  ESG News",ESG,0.9541379,neutral,2025-02-14 08:00:00
IBM,IBM,What Are Financed Emissions? - IBM,What Are Financed Emissions?  IBM,What Are Financed Emissions? - IBM. What Are Financed Emissions?  IBM,ESG,-0.99996173,negative,2025-01-24 08:00:00
IBM,IBM,"IBM, L’Oréal to Launch First AI Model to Advance the Creation of Sustainable Cosmetics - ESG News","IBM, L’Oréal to Launch First AI Model to Advance the Creation of Sustainable Cosmetics  ESG News","IBM, L’Oréal to Launch First AI Model to Advance the Creation of Sustainable Cosmetics - ESG News. IBM, L’Oréal to Launch First AI Model to Advance the Creation of Sustainable Cosmetics  ESG News",ESG,-0.8042848,negative,2025-01-16 08:00:00
IBM,IBM,What Is the CSRD? - IBM,What Is the CSRD?  IBM,What Is the CSRD? - IBM. What Is the CSRD?  IBM,ESG,-0.99999654,negative,2024-12-23 15:38:53
IBM,IBM,Global perception gaps in corporate sustainability investments: Findings from The State of Sustainability 2024 report - IBM,Global perception gaps in corporate sustainability investments: Findings from The State of Sustainability 2024 report  IBM,Global perception gaps in corporate sustainability investments: Findings from The State of Sustainability 2024 report - IBM. Global perception gaps in corporate sustainability investments: Findings from The State of Sustainability 2024 report  IBM,ESG,-0.99840647,negative,2024-12-13 08:00:00
IBM,IBM,IBM and Texas A&M Launch AI Assistant to Revolutionize Sustainable Farming - ESG News,IBM and Texas A&M Launch AI Assistant to Revolutionize Sustainable Farming  ESG News,IBM and Texas A&M Launch AI Assistant to Revolutionize Sustainable Farming - ESG News. IBM and Texas A&M Launch AI Assistant to Revolutionize Sustainable Farming  ESG News,ESG,-0.97727215,negative,2024-12-11 08:00:00
IBM,IBM,ESG News Week In Review: 25 November – 01 December - ESG News,ESG News Week In Review: 25 November – 01 December  ESG News,ESG News Week In Review: 25 November – 01 December - ESG News. ESG News Week In Review: 25 November – 01 December  ESG News,ESG,-1.0,negative,2024-11-30 08:00:00
IBM,IBM,IBM Experts Share 2025 Sustainability Software Predictions with ESG News - ESG News,IBM Experts Share 2025 Sustainability Software Predictions with ESG News  ESG News,IBM Experts Share 2025 Sustainability Software Predictions with ESG News - ESG News. IBM Experts Share 2025 Sustainability Software Predictions with ESG News  ESG News,ESG,-0.99995863,negative,2024-11-28 08:00:00
