ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
CRM,Salesforce,Kiplinger ESG 20: Our Favorite ESG Stock and Fund Picks for Investors - Kiplinger,Kiplinger ESG 20: Our Favorite ESG Stock and Fund Picks for Investors  Kiplinger,Kiplinger ESG 20: Our Favorite ESG Stock and Fund Picks for Investors - Kiplinger. Kiplinger ESG 20: Our Favorite ESG Stock and Fund Picks for Investors  Kiplinger,ESG,-0.999064,negative,2025-04-18 07:00:00
CRM,Salesforce,Salesforce Launches Nature-Focused AI to Help NGOs Tackle Climate and Biodiversity Crises - ESG News,Salesforce Launches Nature-Focused AI to Help NGOs Tackle Climate and Biodiversity Crises  ESG News,Salesforce Launches Nature-Focused AI to Help NGOs Tackle Climate and Biodiversity Crises - ESG News. Salesforce Launches Nature-Focused AI to Help NGOs Tackle Climate and Biodiversity Crises  ESG News,ESG,-0.99117976,negative,2025-04-16 07:00:00
CRM,Salesforce,"Amazon Follows Google’s Lead, Deploys AI for Flood Prevention - ESG News","Amazon Follows Google’s Lead, Deploys AI for Flood Prevention  ESG News","Amazon Follows Google’s Lead, Deploys AI for Flood Prevention - ESG News. Amazon Follows Google’s Lead, Deploys AI for Flood Prevention  ESG News",ESG,-0.99998724,negative,2025-03-04 08:00:00
CRM,Salesforce,"Salesforce, GlobeScan, ERM Form Sustainability Value Creation Partnership to Bridge Corporate Sustainability Gaps - ESG News","Salesforce, GlobeScan, ERM Form Sustainability Value Creation Partnership to Bridge Corporate Sustainability Gaps  ESG News","Salesforce, GlobeScan, ERM Form Sustainability Value Creation Partnership to Bridge Corporate Sustainability Gaps - ESG News. Salesforce, GlobeScan, ERM Form Sustainability Value Creation Partnership to Bridge Corporate Sustainability Gaps  ESG News",ESG,-0.99963224,negative,2025-02-28 08:00:00
CRM,Salesforce,10 Best ESG Stocks for 2025 - The Motley Fool,10 Best ESG Stocks for 2025  The Motley Fool,10 Best ESG Stocks for 2025 - The Motley Fool. 10 Best ESG Stocks for 2025  The Motley Fool,ESG,-0.96607536,negative,2025-02-25 08:00:00
CRM,Salesforce,"ESG Software Market Size, Share, Trends & Growth Report by 2033 - Straits Research","ESG Software Market Size, Share, Trends & Growth Report by 2033  Straits Research","ESG Software Market Size, Share, Trends & Growth Report by 2033 - Straits Research. ESG Software Market Size, Share, Trends & Growth Report by 2033  Straits Research",ESG,-0.9999949,negative,2025-02-24 12:53:59
CRM,Salesforce,Four ESG finance topics for 2025 - Reuters,Four ESG finance topics for 2025  Reuters,Four ESG finance topics for 2025 - Reuters. Four ESG finance topics for 2025  Reuters,ESG,-1.0,negative,2025-01-08 08:00:00
CRM,Salesforce,CRM: 3 ESG Stocks That Align Profits With Purpose - StockNews,CRM: 3 ESG Stocks That Align Profits With Purpose  StockNews,CRM: 3 ESG Stocks That Align Profits With Purpose - StockNews. CRM: 3 ESG Stocks That Align Profits With Purpose  StockNews,ESG,-0.99999595,negative,2024-12-24 19:28:51
CRM,Salesforce,20 Best ESG Stocks to Invest in Today (2025 Guide) - theimpactinvestor.com,20 Best ESG Stocks to Invest in Today (2025 Guide)  theimpactinvestor.com,20 Best ESG Stocks to Invest in Today (2025 Guide) - theimpactinvestor.com. 20 Best ESG Stocks to Invest in Today (2025 Guide)  theimpactinvestor.com,ESG,-0.99984443,negative,2024-12-22 08:00:00
CRM,Salesforce,Toyota Leads $28 Million Investment in EV Charging Software Startup WeaveGrid - ESG Today,Toyota Leads $28 Million Investment in EV Charging Software Startup WeaveGrid  ESG Today,Toyota Leads $28 Million Investment in EV Charging Software Startup WeaveGrid - ESG Today. Toyota Leads $28 Million Investment in EV Charging Software Startup WeaveGrid  ESG Today,ESG,-0.9999932,negative,2024-12-16 08:00:00
CRM,Salesforce,Deloitte Implements GreenLight Powered by Salesforce in Over 120 Countries to Advance Sustainability and ESG Reporting - ESG News,Deloitte Implements GreenLight Powered by Salesforce in Over 120 Countries to Advance Sustainability and ESG Reporting  ESG News,Deloitte Implements GreenLight Powered by Salesforce in Over 120 Countries to Advance Sustainability and ESG Reporting - ESG News. Deloitte Implements GreenLight Powered by Salesforce in Over 120 Countries to Advance Sustainability and ESG Reporting  ESG News,ESG,-0.99989057,negative,2024-09-23 07:00:00
CRM,Salesforce,18 Sustainability Management Software Providers to Consider - TechTarget,18 Sustainability Management Software Providers to Consider  TechTarget,18 Sustainability Management Software Providers to Consider - TechTarget. 18 Sustainability Management Software Providers to Consider  TechTarget,ESG,-0.999982,negative,2024-08-28 07:00:00
CRM,Salesforce,Anti-ESG Proposals Surged in 2024 But Earned Less Support - The Harvard Law School Forum on Corporate Governance,Anti-ESG Proposals Surged in 2024 But Earned Less Support  The Harvard Law School Forum on Corporate Governance,Anti-ESG Proposals Surged in 2024 But Earned Less Support - The Harvard Law School Forum on Corporate Governance. Anti-ESG Proposals Surged in 2024 But Earned Less Support  The Harvard Law School Forum on Corporate Governance,ESG,0.994783,neutral,2024-07-31 07:00:00
CRM,Salesforce,Salesforce Accelerates Energy Transition with New $25 million Climate Investment - ESG News,Salesforce Accelerates Energy Transition with New $25 million Climate Investment  ESG News,Salesforce Accelerates Energy Transition with New $25 million Climate Investment - ESG News. Salesforce Accelerates Energy Transition with New $25 million Climate Investment  ESG News,ESG,0.9923133,neutral,2024-06-19 07:00:00
CRM,Salesforce,Dow Average Gets ESG Boost From Adding Amazon - Bloomberg.com,Dow Average Gets ESG Boost From Adding Amazon  Bloomberg.com,Dow Average Gets ESG Boost From Adding Amazon - Bloomberg.com. Dow Average Gets ESG Boost From Adding Amazon  Bloomberg.com,ESG,0.99517137,neutral,2024-06-05 07:00:00
CRM,Salesforce,Faltering Tesla Faces a Familiar Question: Is It an ESG Stock? - Bloomberg.com,Faltering Tesla Faces a Familiar Question: Is It an ESG Stock?  Bloomberg.com,Faltering Tesla Faces a Familiar Question: Is It an ESG Stock? - Bloomberg.com. Faltering Tesla Faces a Familiar Question: Is It an ESG Stock?  Bloomberg.com,ESG,-0.98331374,negative,2024-04-03 07:00:00
CRM,Salesforce,"OpenAI, Salesforce Pledge Social Responsibility in Mitigating AI Risks - Seneca ESG","OpenAI, Salesforce Pledge Social Responsibility in Mitigating AI Risks  Seneca ESG","OpenAI, Salesforce Pledge Social Responsibility in Mitigating AI Risks - Seneca ESG. OpenAI, Salesforce Pledge Social Responsibility in Mitigating AI Risks  Seneca ESG",ESG,-0.99983346,negative,2024-03-06 08:00:00
CRM,Salesforce,ESG Investing in “Democratic” Companies - Capital Research Center,ESG Investing in “Democratic” Companies  Capital Research Center,ESG Investing in “Democratic” Companies - Capital Research Center. ESG Investing in “Democratic” Companies  Capital Research Center,ESG,-0.9999989,negative,2024-01-30 08:00:00
CRM,Salesforce,Top 10: ESG Stocks to Consider in 2024 - Sustainability Magazine,Top 10: ESG Stocks to Consider in 2024  Sustainability Magazine,Top 10: ESG Stocks to Consider in 2024 - Sustainability Magazine. Top 10: ESG Stocks to Consider in 2024  Sustainability Magazine,ESG,-0.9987557,negative,2024-01-23 08:00:00
CRM,Salesforce,ESG on Your Board's Agenda: Why It Matters - BDO UK,ESG on Your Board's Agenda: Why It Matters  BDO UK,ESG on Your Board's Agenda: Why It Matters - BDO UK. ESG on Your Board's Agenda: Why It Matters  BDO UK,ESG,-0.9999968,negative,2024-01-17 21:09:14
CRM,Salesforce,"At Davos, ESG begins a quiet rebranding—here’s what that looks like - Fast Company","At Davos, ESG begins a quiet rebranding—here’s what that looks like  Fast Company","At Davos, ESG begins a quiet rebranding—here’s what that looks like - Fast Company. At Davos, ESG begins a quiet rebranding—here’s what that looks like  Fast Company",ESG,-0.9999095,negative,2024-01-17 08:00:00
CRM,Salesforce,"These organizations are scaling impactful corporate diversity, equity and inclusion initiatives - The World Economic Forum","These organizations are scaling impactful corporate diversity, equity and inclusion initiatives  The World Economic Forum","These organizations are scaling impactful corporate diversity, equity and inclusion initiatives - The World Economic Forum. These organizations are scaling impactful corporate diversity, equity and inclusion initiatives  The World Economic Forum",ESG,-0.92261606,negative,2024-01-08 08:00:00
CRM,Salesforce,"Tech-Driven ESG Evolution: Navigating compliance, enhancing performance, and ensuring planetary homeostasis - Forbes India","Tech-Driven ESG Evolution: Navigating compliance, enhancing performance, and ensuring planetary homeostasis  Forbes India","Tech-Driven ESG Evolution: Navigating compliance, enhancing performance, and ensuring planetary homeostasis - Forbes India. Tech-Driven ESG Evolution: Navigating compliance, enhancing performance, and ensuring planetary homeostasis  Forbes India",ESG,0.91961235,neutral,2023-12-15 08:00:00
